run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff,crop_data
1,True,fixed,auto,WRa_sfix_hauto,sim_proj.json,crop.json,site.json,False,brandenburg_ensemble,brandenburg_ensemble,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp26,,r12i1p1,1951-01-01,2100-12-31,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
2,True,fixed,auto,WRa_sfix_hauto,sim_proj.json,crop.json,site.json,False,brandenburg_ensemble,brandenburg_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp26,,r12i1p1,1951-01-01,2100-12-31,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
3,True,fixed,auto,WRa_sfix_hauto,sim_proj.json,crop.json,site.json,False,brandenburg_ensemble,brandenburg_ensemble,ICHEC-EC-EARTH,SMHI-RCA4,rcp26,,r12i1p1,1970-01-01,2100-12-31,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
4,True,fixed,auto,WRa_sfix_hauto,sim_proj.json,crop.json,site.json,False,brandenburg_ensemble,brandenburg_ensemble,MIROC-MIROC5,CLMcom-CCLM4-8-17,rcp26,,r1i1p1,1951-01-01,2100-12-31,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
5,True,fixed,auto,WRa_sfix_hauto,sim_proj.json,crop.json,site.json,False,brandenburg_ensemble,brandenburg_ensemble,MOHC-HadGEM2-ES,KNMI-RACMO22E,rcp26,,r1i1p1,1951-01-01,2099-12-31,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
6,True,fixed,auto,WRa_sfix_hauto,sim_proj.json,crop.json,site.json,False,brandenburg_ensemble,brandenburg_ensemble,MPI-M-MPI-ESM-LR,CLMcom-CCLM4-8-17,rcp26,,r1i1p1,1951-01-01,2100-12-31,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
7,True,fixed,auto,WRa_sfix_hauto,sim_proj.json,crop.json,site.json,False,brandenburg_ensemble,brandenburg_ensemble,MPI-M-MPI-ESM-LR,SMHI-RCA4,rcp26,,r1i1p1,1970-01-01,2100-12-31,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
8,True,fixed,auto,WRa_sfix_hauto,sim_proj.json,crop.json,site.json,False,brandenburg_ensemble,brandenburg_ensemble,MPI-M-MPI-ESM-LR,UHOH-WRF361H,rcp26,,r1i1p1,1970-01-01,2100-12-31,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
9,True,fixed,auto,WRa_sfix_hauto,sim_proj.json,crop.json,site.json,False,brandenburg_ensemble,brandenburg_ensemble,ICHEC-EC-EARTH,KNMI-RACMO22E,rcp45,,r1i1p1,1951-01-01,2100-12-31,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
10,True,fixed,auto,WRa_sfix_hauto,sim_proj.json,crop.json,site.json,False,brandenburg_ensemble,brandenburg_ensemble,ICHEC-EC-EARTH,CLMcom-CCLM4-8-17,rcp45,,r12i1p1,1951-01-01,2100-12-31,False,False,True,True,True,False,False,True,True,True,True,False,False,,,0.81,,historic_runs,BRA_BER,,,,,,BB_CType10_2005_100_25832_etrs89-utm32n.asc
